title,url,date_time,venue
Arts in the Parks: Park in Motion,https://www.blogto.com/events/arts-in-the-parks-park-in-motion-toronto/,5:00 PM – 6:00 PM,Parkway Forest Park
Art/Wear: Sneakers x Artists,https://www.blogto.com/events/artwear-sneakers-x-artists-toronto/,10:00 AM – 5:00 PM,Bata Shoe Museum
"A State of Balance: New Exhibition by Sheila Kernan Exploring Nature, Harmony, and the Creative Process at Bau-Xi Gallery Dufferin",https://www.blogto.com/events/a-state-of-balance-new-exhibition-by-sheila-kernan-exploring-nature-harmony-and-the-creative-process-at-bau-xi-gallery-dufferin-toronto/,10:00 AM – 5:30 PM,Bau-Xi Gallery | Dufferin
At Home in Toronto,https://www.blogto.com/events/at-home-in-toronto-toronto/,11:00 AM – 5:00 PM,The Market Gallery
A Transit Through Time,https://www.blogto.com/events/a-transit-through-time-toronto/,9:00 AM – 5:00 PM,Union Station
Auschwitz. Not long ago. Not far away.,https://www.blogto.com/events/auschwitz-not-long-ago-not-far-away-toronto/,10:00 AM – 5:30 PM,Royal Ontario Museum
BBQ Party Fridays at Pogue Mahone,https://www.blogto.com/events/bbq-party-fridays-at-pogue-mahone-toronto/,4:00 PM – 8:00 PM,Pogue Mahone
Below Our Feet and Above Our Heads Group Exhibition,https://www.blogto.com/events/below-our-feet-and-above-our-heads-group-exhibition-toronto/,1:00 PM – 5:30 PM,Propeller Gallery
Campus Secrets and Spectres- University of Toronto Ghost Tour,https://www.blogto.com/events/campus-secrets-and-spectres-university-of-toronto-ghost-tour-toronto-2/,8:00 PM – 9:15 PM,Royal Conservatory of Music
Canadian Photographs: 1900 - 1950,https://www.blogto.com/events/canadian-photographs-1900-1950-toronto/,11:00 AM – 6:00 PM,Stephen Bulger Gallery
Canadian Stage presents the 42nd annual Dream in High Park - ROMEO & JULIET,https://www.blogto.com/events/canadian-stage-presents-the-42nd-annual-dream-in-high-park-romeo-juliet-toronto/,8:00 PM – 9:30 PM,High Park Amphitheatre
Cheap Friday Comedy,https://www.blogto.com/events/cheap-friday-comedy-toronto-2/,8:00 PM – 10:30 PM,Toronto Style Bar & Grill
Chinese Zodiac Case: Year of the Snake at ROM,https://www.blogto.com/events/chinese-zodiac-case-year-of-the-snake-at-rom-toronto/,10:00 AM – 5:30 PM,Royal Ontario Museum
Clock Off at the Malibu Bar at Union Summer,https://www.blogto.com/events/clock-off-at-the-malibu-bar-at-union-summer-toronto/,12:00 PM – 12:00 AM,Union Station
Come dance Ballroom & Latin with us at 30-Up Club on Friday & Saturday,https://www.blogto.com/events/come-dance-ballroom-latin-with-us-at-30-up-club-on-friday-saturday-toronto/,6:30 PM – 12:00 AM,30-Up Club
Comedy Bar: After Dark,https://www.blogto.com/events/comedy-bar-after-dark-toronto/,11:30 PM – 12:45 AM,Comedy Bar
Cultural Bazaar 2025,https://www.blogto.com/events/cultural-bazaar-2025-toronto/,2:00 PM – 8:00 PM,Big Park in Regent Park
Cypher Playground Festival,https://www.blogto.com/events/cypher-playground-festival-toronto/,6:00 PM – 10:00 PM,The Theatre Centre
Disney The Lion King,https://www.blogto.com/events/disney-lion-king-toronto/,6:00 PM – 8:00 PM,Princess of Wales Theatre
Downtown Movies in the Park in Partnership with TIFF's 50th Edition,https://www.blogto.com/events/downtown-movies-in-the-park-in-partnership-with-tiffs-50th-edition-toronto/,8:45 PM – 11:30 PM,David Pecaut Square
Emo Night North,https://www.blogto.com/events/emo-night-north-toronto/,10:30 AM – 3:00 PM,Sneaky Dee's
