venue,link
MainStage,https://comedybar.ca/shows/COMEDY-SLAM?ev=2025-08-26T21%3A30%3A00
MainStage,https://comedybar.ca/shows/yskb?ev=2025-08-27T21%3A30%3A00
MainStage,https://comedybar.ca/shows/laugh-sabbath?ev=2025-08-28T21%3A30%3A00
MainStage,https://comedybar.ca/shows/Funny-Thing-To-Do-Toronto?ev=2025-08-29T20%3A30%3A00
MainStage,https://comedybar.ca/shows/Vicky-Mullaley-OR-ELSE?ev=2025-08-30T20%3A30%3A00
MainStage,https://comedybar.ca/shows/late-mic-to-bloor?ev=2025-08-24T22%3A00%3A00
MainStage,https://comedybar.ca/shows/open-mic-the-bucket-show?ev=2025-08-26T23%3A00%3A00
MainStage,https://comedybar.ca/shows/catch23?ev=2025-08-29T21%3A00%3A00
MainStage,https://comedybar.ca/shows/the-rundown-the-best-of-comedy-bar?ev=2025-08-30T21%3A00%3A00
MainStage,https://comedybar.ca/shows/ALL-GOOD-COMEDY?ev=2025-08-29T22%3A00%3A00
MainStage,https://comedybar.ca/shows/Experiment-Experiment?ev=2025-08-30T22%3A00%3A00
MainStage,https://comedybar.ca/shows/Shameless-in-the-6ix?ev=2025-08-29T23%3A00%3A00
MainStage,https://comedybar.ca/shows/roast-battle-toronto?ev=2025-08-30T23%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-29T23%3A30%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-30T23%3A30%3A00
MainStage,https://comedybar.ca/shows/Andrew-and-David-are-trying?ev=2025-08-31T19%3A00%3A00
MainStage,https://comedybar.ca/shows/impulse-comedy?ev=2025-09-02T20%3A00%3A00
MainStage,https://comedybar.ca/shows/nice-time?ev=2025-09-03T20%3A00%3A00
MainStage,https://comedybar.ca/shows/the-after-party?ev=2025-09-04T19%3A30%3A00
MainStage,https://comedybar.ca/shows/the-headliner?ev=2025-09-05T19%3A00%3A00
MainStage,https://comedybar.ca/shows/insufferable-with-bee-bertrand-and-cleo-vaillancourt?ev=2025-09-06T19%3A00%3A00
MainStage,https://comedybar.ca/shows/LatinLaughSunday?ev=2025-08-31T20%3A00%3A00
MainStage,https://comedybar.ca/shows/COMEDY-SLAM?ev=2025-09-02T21%3A30%3A00
MainStage,https://comedybar.ca/shows/Cashprov?ev=2025-09-03T21%3A30%3A00
MainStage,https://comedybar.ca/shows/unhinged?ev=2025-09-04T20%3A00%3A00
MainStage,https://comedybar.ca/shows/shrimp-daddy?ev=2025-09-05T20%3A30%3A00
MainStage,https://comedybar.ca/shows/the-best-comedians-tonight?ev=2025-09-06T20%3A30%3A00
MainStage,https://comedybar.ca/shows/ALL-SORTS-of-funny-friends?ev=2025-08-31T21%3A00%3A00
MainStage,https://comedybar.ca/shows/open-mic-the-bucket-show?ev=2025-09-02T23%3A00%3A00
MainStage,https://comedybar.ca/shows/you-heard-it-here-first?ev=2025-09-03T21%3A30%3A00
MainStage,https://comedybar.ca/shows/laugh-sabbath?ev=2025-09-04T21%3A30%3A00
MainStage,https://comedybar.ca/shows/catch23?ev=2025-09-05T21%3A00%3A00
MainStage,https://comedybar.ca/shows/graham-kay-a-comedy-show-near-me?ev=2025-09-06T21%3A00%3A00
MainStage,https://comedybar.ca/shows/late-mic-to-bloor?ev=2025-08-31T22%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-09-05T23%3A30%3A00
MainStage,https://comedybar.ca/shows/nour-hadidi-and-friends?ev=2025-09-06T22%3A00%3A00
MainStage,https://comedybar.ca/shows/Standout-Comedy?ev=2025-09-06T22%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-09-06T23%3A30%3A00
Cabaret,https://comedybar.ca/shows/comedy-bars-hot-mic?ev=2025-08-05T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-wednesdays?ev=2025-08-06T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-thursdays?ev=2025-08-07T20%3A30%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/stand-up-drop-in
Cabaret,https://comedybar.cahttps://comedybar.ca/class/date-night-drop-in
Cabaret,https://comedybar.ca/shows/shuler-king?ev=2025-08-08T19%3A00%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/improv-drop-in
Cabaret,https://comedybar.cahttps://comedybar.ca/class/improv-drop-in
Cabaret,https://comedybar.ca/shows/shuler-king?ev=2025-08-09T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/The-Match?ev=2025-08-08T20%3A00%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/stand-up-drop-in
Cabaret,https://comedybar.ca/shows/Sunthar-V-Millennial-Trauma-Gen-Z-Drama?ev=2025-08-08T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/crush-city-comedy?ev=2025-08-09T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/Burnin-Up?ev=2025-08-08T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/shuler-king?ev=2025-08-09T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/saturday-spotlights?ev=2025-08-09T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/Sunthar-V-Millennial-Trauma-Gen-Z-Drama?ev=2025-08-10T16%3A00%3A00
Cabaret,https://comedybar.ca/shows/studio-mondays?ev=2025-08-11T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/comedy-bars-hot-mic?ev=2025-08-12T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/The-Muslim-Girl-Show?ev=2025-08-13T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/gaspare-randazzo?ev=2025-08-14T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/The-Match?ev=2025-08-15T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/after-hours-with-ryan-belleville?ev=2025-08-16T16%3A00%3A00
Cabaret,https://comedybar.ca/shows/shuler-king?ev=2025-08-10T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/The-Perfect-Heist?ev=2025-08-12T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-wednesdays?ev=2025-08-13T20%3A30%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/advanced-improv-drop-in
Cabaret,https://comedybar.ca/shows/devon-walker?ev=2025-08-15T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/monty-franklin---is-that-your-mate-2025-world-tour?ev=2025-08-16T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/studio-sundays?ev=2025-08-10T19%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-thursdays?ev=2025-08-14T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/movie-the-improvised-musical?ev=2025-08-15T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/crush-city-comedy?ev=2025-08-16T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/Sunthar-V-Millennial-Trauma-Gen-Z-Drama?ev=2025-08-10T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/Galens-Grocer?ev=2025-08-14T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/comedy-bar-karaoke?ev=2025-08-15T23%3A00%3A00
